type,start,end,pre,post,pre_val,post_val,hours
binary_switch,2017-01-02 14:45:00+01:00,2017-01-02 14:45:00+01:00,2017-01-02 14:30:00+01:00,2017-01-02 15:00:00+01:00,0.0,0.079,
binary_switch,2017-01-06 00:15:00+01:00,2017-01-09 14:30:00+01:00,2017-01-06 00:00:00+01:00,2017-01-09 14:45:00+01:00,2.281,0.0,
binary_switch,2017-01-09 14:45:00+01:00,2017-01-09 14:45:00+01:00,2017-01-09 14:30:00+01:00,2017-01-09 15:00:00+01:00,0.0,0.175,
binary_switch,2017-01-16 18:15:00+01:00,2017-01-16 22:30:00+01:00,2017-01-16 18:00:00+01:00,2017-01-16 22:45:00+01:00,0.008,0.0,
binary_switch,2017-01-16 23:15:00+01:00,2017-01-16 23:30:00+01:00,2017-01-16 23:00:00+01:00,2017-01-16 23:45:00+01:00,0.001,0.0,
binary_switch,2017-01-17 00:15:00+01:00,2017-01-17 00:30:00+01:00,2017-01-17 00:00:00+01:00,2017-01-17 00:45:00+01:00,0.001,0.0,
binary_switch,2017-01-17 00:45:00+01:00,2017-01-17 00:45:00+01:00,2017-01-17 00:30:00+01:00,2017-01-17 01:00:00+01:00,0.0,0.001,
binary_switch,2017-01-17 01:30:00+01:00,2017-01-17 02:15:00+01:00,2017-01-17 01:15:00+01:00,2017-01-17 02:30:00+01:00,0.001,0.0,
binary_switch,2017-01-17 02:30:00+01:00,2017-01-17 03:00:00+01:00,2017-01-17 02:15:00+01:00,2017-01-17 03:15:00+01:00,0.0,0.001,
binary_switch,2017-01-17 20:30:00+01:00,2017-01-17 21:45:00+01:00,2017-01-17 20:15:00+01:00,2017-01-17 22:00:00+01:00,0.001,0.0,
binary_switch,2017-01-17 22:00:00+01:00,2017-01-17 22:00:00+01:00,2017-01-17 21:45:00+01:00,2017-01-17 22:15:00+01:00,0.0,0.001,
binary_switch,2017-01-21 08:30:00+01:00,2017-01-21 09:46:00+01:00,2017-01-21 08:15:00+01:00,2017-01-21 10:01:00+01:00,0.001,0.0,
binary_switch,2017-01-21 10:01:00+01:00,2017-01-21 10:01:00+01:00,2017-01-21 09:46:00+01:00,2017-01-21 10:16:00+01:00,0.0,0.001,
binary_switch,2017-02-20 14:00:00+01:00,2017-02-28 15:15:00+01:00,2017-02-20 13:45:00+01:00,2017-02-28 15:30:00+01:00,3.486,0.0,
binary_switch,2017-02-28 15:30:00+01:00,2017-02-28 15:30:00+01:00,2017-02-28 15:15:00+01:00,2017-02-28 15:45:00+01:00,0.0,0.124,
binary_switch,2017-03-13 15:00:00+01:00,2017-03-20 14:30:00+01:00,2017-03-13 14:45:00+01:00,2017-03-20 14:45:00+01:00,4.057,0.0,
binary_switch,2017-03-20 14:45:00+01:00,2017-03-20 14:45:00+01:00,2017-03-20 14:30:00+01:00,2017-03-20 15:00:00+01:00,0.0,1.734,
binary_switch,2017-11-06 15:46:00+01:00,2017-11-20 15:16:00+01:00,2017-11-06 15:31:00+01:00,2017-11-20 15:31:00+01:00,0.117,0.0,
binary_switch,2017-11-20 15:31:00+01:00,2017-11-20 15:31:00+01:00,2017-11-20 15:16:00+01:00,2017-11-20 15:46:00+01:00,0.0,0.408,
binary_switch,2017-11-24 10:46:00+01:00,2017-11-27 13:46:00+01:00,2017-11-24 10:31:00+01:00,2017-11-27 14:01:00+01:00,1.586,0.0,
binary_switch,2017-11-27 14:01:00+01:00,2017-11-27 14:01:00+01:00,2017-11-27 13:46:00+01:00,2017-11-27 14:16:00+01:00,0.0,0.401,
binary_switch,2018-01-08 14:00:00+01:00,2018-01-08 14:00:00+01:00,2018-01-08 13:45:00+01:00,2018-01-08 14:15:00+01:00,7.235,0.0,
binary_switch,2018-01-08 14:15:00+01:00,2018-01-08 14:15:00+01:00,2018-01-08 14:00:00+01:00,2018-01-08 14:30:00+01:00,0.0,8.405,
binary_switch,2018-10-30 14:45:00+01:00,2018-10-30 14:45:00+01:00,2018-10-30 14:30:00+01:00,2018-10-30 15:01:00+01:00,0.0,0.001,
binary_switch,2018-10-31 23:01:00+01:00,2018-11-03 00:31:00+01:00,2018-10-31 22:46:00+01:00,2018-11-03 00:46:00+01:00,0.001,0.0,
binary_switch,2018-11-03 00:46:00+01:00,2018-11-03 00:46:00+01:00,2018-11-03 00:31:00+01:00,2018-11-03 01:01:00+01:00,0.0,0.001,
binary_switch,2018-11-03 11:01:00+01:00,2018-11-16 04:31:00+01:00,2018-11-03 10:46:00+01:00,2018-11-16 04:46:00+01:00,0.001,0.0,
binary_switch,2018-11-16 04:46:00+01:00,2018-11-16 04:46:00+01:00,2018-11-16 04:31:00+01:00,2018-11-16 05:01:00+01:00,0.0,0.001,
binary_switch,2018-11-16 05:46:00+01:00,2018-11-16 05:46:00+01:00,2018-11-16 05:31:00+01:00,2018-11-16 06:01:00+01:00,0.001,0.0,
binary_switch,2018-11-16 06:01:00+01:00,2018-11-16 06:01:00+01:00,2018-11-16 05:46:00+01:00,2018-11-16 06:16:00+01:00,0.0,0.001,
binary_switch,2018-11-16 06:46:00+01:00,2018-11-16 08:01:00+01:00,2018-11-16 06:31:00+01:00,2018-11-16 08:16:00+01:00,0.001,0.0,
binary_switch,2018-11-16 09:16:00+01:00,2018-11-16 10:16:00+01:00,2018-11-16 09:01:00+01:00,2018-11-16 10:31:00+01:00,0.001,0.0,
binary_switch,2018-11-16 11:31:00+01:00,2018-11-16 11:46:00+01:00,2018-11-16 11:16:00+01:00,2018-11-16 12:01:00+01:00,0.001,0.0,
binary_switch,2018-11-16 12:01:00+01:00,2018-11-16 12:01:00+01:00,2018-11-16 11:46:00+01:00,2018-11-16 12:16:00+01:00,0.0,0.001,
binary_switch,2018-11-16 12:46:00+01:00,2018-11-16 12:46:00+01:00,2018-11-16 12:31:00+01:00,2018-11-16 13:01:00+01:00,0.001,0.0,
binary_switch,2018-11-16 13:01:00+01:00,2018-11-16 13:31:00+01:00,2018-11-16 12:46:00+01:00,2018-11-16 13:46:00+01:00,0.0,0.001,
binary_switch,2018-11-16 14:16:00+01:00,2018-11-16 14:16:00+01:00,2018-11-16 14:01:00+01:00,2018-11-16 14:31:00+01:00,0.001,0.0,
binary_switch,2018-11-16 15:01:00+01:00,2018-11-19 14:16:00+01:00,2018-11-16 14:46:00+01:00,2018-11-19 14:31:00+01:00,0.001,0.0,
