type,start,end,pre,post,pre_val,post_val,hours
binary_switch,2013-02-06 14:00:00+01:00,2013-02-06 14:00:00+01:00,2013-02-06 13:45:00+01:00,2013-02-06 14:15:00+01:00,0.0,-0.3,
binary_switch,2014-01-21 10:01:00+01:00,2014-01-28 11:00:00+01:00,2014-01-21 09:46:00+01:00,2014-01-28 11:15:00+01:00,3.0,0.0,
binary_switch,2014-01-28 11:15:00+01:00,2014-01-28 11:15:00+01:00,2014-01-28 11:00:00+01:00,2014-01-28 11:30:00+01:00,0.0,8.1,
binary_switch,2014-01-30 05:15:00+01:00,2014-01-30 08:30:00+01:00,2014-01-30 05:00:00+01:00,2014-01-30 08:45:00+01:00,4.4,0.0,
binary_switch,2014-01-30 08:45:00+01:00,2014-01-30 08:45:00+01:00,2014-01-30 08:30:00+01:00,2014-01-30 09:00:00+01:00,0.0,4.7,
binary_switch,2014-02-11 11:31:00+01:00,2014-02-11 11:46:00+01:00,2014-02-11 11:16:00+01:00,2014-02-11 12:01:00+01:00,2.6,0.0,
binary_switch,2014-02-11 12:01:00+01:00,2014-02-11 12:01:00+01:00,2014-02-11 11:46:00+01:00,2014-02-11 12:16:00+01:00,0.0,2.8,
binary_switch,2014-03-24 15:15:00+01:00,2014-03-27 09:45:00+01:00,2014-03-24 15:00:00+01:00,2014-03-27 10:00:00+01:00,2.1,0.0,
binary_switch,2014-03-27 10:00:00+01:00,2014-03-27 10:00:00+01:00,2014-03-27 09:45:00+01:00,2014-03-27 10:15:00+01:00,0.0,1.5,
binary_switch,2014-11-10 23:30:00+01:00,2014-11-17 14:15:00+01:00,2014-11-10 23:15:00+01:00,2014-11-17 14:30:00+01:00,3.7,0.0,
binary_switch,2014-11-17 14:30:00+01:00,2014-11-17 14:30:00+01:00,2014-11-17 14:15:00+01:00,2014-11-17 14:45:00+01:00,0.0,3.3,
binary_switch,2015-01-05 14:45:00+01:00,2015-01-21 13:30:00+01:00,2015-01-05 14:30:00+01:00,2015-01-21 13:45:00+01:00,195.6,0.0,
